section|0|_
line|0|[Background music]|center

section|4|_
line|0|Aprendemos que toda história tem três partes.|left
line|3|Mas a vida não é assim tão|right
line|6|O que acontece quando|left
line|7|o meio|center
line|7|é apenas o começo?|right

section|13|_
line|0|Eu sou Danielle Prescod. Isto é|center
line|2|<em>More Than This<em>|center
line|4|Uma produção da Vox Creative com a Straight Talk Wireless.|center

section|21|_
line|2|Toda grande história tem aquele momento específico:|left
line|8|Um chamado à aventura.|center
line|10|Um impulso para mais.|right
line|12|Um momento que muda tudo|center

section|34|_
line|0|Eu já tive alguns desses momentos — mas o mais recente aconteceu em 2020.|center
line|6|Eu morava em Nova York, trabalhando com moda e entretenimento — tinha um daqueles empregos que, para citar um filme icônico do mundo da moda,|left
line|13|<strong>"um milhão de garotas matariam para ter."</strong>|center
line|15|Mas, por trás do brilho,<br />eu vivia em um mundo de alta pressão,<br />nada saudável.<br />E ficou claro que algo precisava mudar.|center

section|58|_
line|0|Então eu virei minha vida de cabeça para baixo.|right
line|3|Larguei <s>meu emprego. Eu me mudei para Nova Orleans.</s>|center
line|6|Escrevi um livro de memórias.|right

section|65|_
line|0|E, agora, meu trabalho gira menos em torno de acessórios e mais em torno de confrontar a relação da indústria da moda com a supremacia branca.|center
line|8|E agora, estou aqui para apresentar a você seis pessoas que vivenciaram|left
line|12|pontos de ruptura|right
line|13|<strong>transformadores.</strong>|center

section|80|_
line|0|O que nossa equipe passou a chamar de|center
line|2|momento|center
line|3|<strong>More Than This</strong>|center
